person_id,first_name,last_name,father_name,gender,fin_code,id_card_number,military_ticket_number,has_driving_license,driving_license_number,birth_date,age,home_region,education_level,university_admission_year,university_graduation_year,rank_group,rank,specialization,is_leadership,officer_commissioning_source,military_academy_type,years_as_enlisted_before_commission,prior_enlisted_specialization,department,total_military_service_years,uav_service_years,current_department_years,rotation_count,last_rotation_date,contract_start_date,contract_end_date,contract_length_years,pua_course_cohort
AO07216,Vaqif,Rəhimov,Cavid oğlu,M,AZL7353,GU1882843,HB075141,False,,1984-02-15,42,Lənkəran,Higher Military Education,2003,2007,Officer,Lieutenant Colonel,Department Commander,True,Military Academy,General Military Academy,,,Alpha,19.13,1.77,1.77,0,,2017-11-05,2027-11-05,10,2
AO12605,Sənan,Rüstəmov,Zaur oğlu,M,T8D9F8J,CL7365352,HB120821,True,SV0957763,1991-10-23,34,Sumqayıt,In-Service Officer Commissioning Program,2010,2012,Officer,Major,Chief of Operations,True,Prior Enlisted (Gizir) Commission,,1.58,UAV Operator,Alpha,14.03,5.32,2.32,1,2024-03-05,2023-04-15,2028-04-15,5,3
AO17018,Adil,Yaqubov,Azər oğlu,M,KEP8X6V,HP0245644,HB176006,True,SV4971056,1995-07-23,30,Qazax,Higher Military Education,2013,2017,Officer,Captain,Pilot-Operator Lead,True,Military Academy,General Military Academy,,,Alpha,8.69,5.5,2.5,1,2023-12-30,2021-10-29,2028-10-29,7,1
G22139,Elnur,İbrahimov,Elvin oğlu,M,B9V2Q6U,TK3168887,HB225409,True,SV8645911,2000-11-06,25,Zaqatala,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Service Lead,True,,,,,Alpha,4.01,4.01,1.01,1,2025-06-27,2025-05-17,2030-05-17,5,5
AO16543,Osman,Qurbanov,Şəmsəddin oğlu,M,7QF5Q24,GU4247238,HB168953,True,SV1312434,1992-12-30,33,Gəncə,Higher Military Education,2012,2016,Officer,Captain,Training & Standardization Lead,True,Military Academy,General Military Academy,,,Alpha,9.6,5.46,2.46,1,2024-01-14,2021-06-19,2028-06-19,7,2
AO22963,Rövşən,Fərəcov,Şahin oğlu,M,AM258PZ,PQ2240364,HB226574,True,SV4160350,1998-07-08,27,Ağdam,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Operations Officer,False,Military Academy,Military Aviation School,,,Alpha,4.44,4.44,1.44,1,2025-01-21,2023-11-09,2026-11-09,3,2
AO19391,Ramin,Rüstəmov,Kənan oğlu,M,8P4RZB8,FB9002862,HB197220,True,SV1942369,1996-12-11,29,Şirvan,Higher Military Education,2015,2019,Officer,Captain,Operations Officer,False,Military Academy,Military Aviation School,,,Alpha,7.03,2.64,2.64,0,,2024-10-21,2029-10-21,5,2
AO18976,Elçin,Rüstəmov,Vüsal oğlu,M,CYWD25V,CZ7343538,HB189810,False,,1996-02-01,30,Şirvan,Higher Military Education,2014,2018,Officer,Captain,Operations Officer,False,Military Academy,Military Aviation School,,,Alpha,8.36,2.56,2.56,0,,2019-10-15,2026-10-15,7,4
AO13357,Ramin,Xəlilov,Vüqar oğlu,M,3TRPZJ5,VC8246308,HB131211,True,SV2738720,1989-10-30,36,Şəki,Higher Military Education,2009,2013,Officer,Major,Operations Officer,False,Military Academy,General Military Academy,,,Alpha,13.01,4.54,1.54,1,2024-12-15,2022-10-29,2027-10-29,5,1
AO23290,Şahin,Sultanov,Nicat oğlu,M,3CHYKUR,NL7372211,HB232875,True,SV5712479,2000-12-29,25,Salyan,Higher Civilian Education,2019,2023,Officer,Lieutenant,Operations Officer,False,Civilian Direct Commission,,,,Alpha,2.69,2.69,2.69,0,,2024-02-12,2029-02-12,5,5
AO16547,Elçin,Məmmədov,Emin oğlu,M,EBBK8W2,CA2439281,HB167578,True,SV4561890,1994-05-17,32,Lənkəran,Higher Civilian Education,2012,2016,Officer,Captain,Operations Officer,False,Civilian Direct Commission,,,,Alpha,9.92,1.97,1.97,0,,2025-08-06,2030-08-06,5,1
AO13497,Namiq,Cəfərov,Aqşin oğlu,M,UPUB8D2,RG0251464,HB137445,True,SV2280227,1990-03-01,36,Bərdə,Higher Military Education,2009,2013,Officer,Major,Operations Officer,False,Military Academy,General Military Academy,,,Alpha,13.14,4.09,1.09,1,2025-05-28,2022-09-12,2032-09-12,10,2
AO17259,Tural,Həsənov,Kamran oğlu,M,3V47QQK,KG5458760,HB170768,True,SV6850785,1993-12-08,32,Naxçıvan,Higher Civilian Education,2013,2017,Officer,Captain,Operations Officer,False,Civilian Direct Commission,,,,Alpha,9.47,4.24,1.24,1,2025-04-04,2018-03-24,2028-03-24,10,4
AO21304,Şahin,Həsənov,Elşən oğlu,M,PLDFPRX,KU0021788,HB212793,True,SV8405644,1998-07-13,27,Gəncə,Higher Military Education,2017,2021,Officer,Senior Lieutenant,Operations Officer,False,Military Academy,General Military Academy,,,Alpha,5.41,5.41,2.41,1,2024-02-01,2022-06-05,2027-06-05,5,2
AO24033,Tofiq,Məmmədov,Vüqar oğlu,M,3YKAPH4,CY6192744,HB248427,True,SV4115710,2002-08-27,23,Ağdam,Higher Civilian Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Civilian Direct Commission,,,,Alpha,1.58,1.58,1.58,0,,2021-08-24,2031-08-24,10,3
AO25712,Şahin,Musaov,Aqşin oğlu,M,ETMTTQL,ES5270778,HB252118,True,SV6894055,2001-08-27,24,Şirvan,Higher Military Education,2021,2025,Officer,Lieutenant,Operations Officer,False,Military Academy,General Military Academy,,,Alpha,1.2,1.2,1.2,0,,2023-07-26,2028-07-26,5,4
AO21586,Fərid,Nəsirov,Vüqar oğlu,M,YW555NL,TU8006997,HB212621,True,SV0684690,2001-09-26,24,Gəncə,In-Service Officer Commissioning Program,2019,2021,Officer,Senior Lieutenant,Operations Officer,False,Prior Enlisted (Gizir) Commission,,3.73,UAV Operator,Alpha,4.73,4.73,1.73,1,2024-10-07,2025-09-30,2035-09-30,10,3
AO24023,Günel,Rəhimova,Kamran qızı,F,C5VH7EQ,GG0896143,HB240443,True,SV6428134,2002-02-08,24,Lənkəran,Higher Civilian Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Civilian Direct Commission,,,,Alpha,1.53,1.53,1.53,0,,2023-02-01,2028-02-01,5,4
