"person_id","first_name","last_name","department","rank","annual_flight_hours"
"AO12560","Elvin","Tağıov","Beta","Major","34.89"
"AO25607","Aqşin","Nağıov","Delta","Lieutenant","51.25"
"AO22207","Fuad","Yusifov","Delta","Senior Lieutenant","52.72"
"AO24998","Turanə","Xəlilova","Beta","Lieutenant","54.21"
"AO07216","Vaqif","Rəhimov","Alpha","Lieutenant Colonel","62.3200000000000005"
"AO18592","Tural","Qaraov","Beta","Captain","62.38"
"AO22646","Nərgiz","Yusifova","Alpha","Senior Lieutenant","66.470000000000004"
"G17139","Nicat","İbrahimov","Alpha","Senior Warrant Officer","69.36"
"AO17018","Adil","Yaqubov","Alpha","Captain","69.37"
"AO11296","Elnur","Məmmədov","Delta","Major","70.88"
"AO16242","Elnur","Əliov","Delta","Captain","70.97"
"AO22709","Ceyhun","Məmmədov","Beta","Senior Lieutenant","71.03"
"AO14299","Ramin","Nağıov","Beta","Major","71.20"
"G11545","Rəşad","Kərimov","Delta","Senior Warrant Officer","71.24"
"AO25050","Rəşad","Məmmədov","Beta","Lieutenant","78.64"
"AO15635","Emin","Yusifov","Alpha","Captain","81.79"
"AO17999","Namiq","Nağıov","Beta","Captain","84.189999999999999"
"AO16958","Vüqar","Vəliov","Gamma","Captain","84.959999999999997"
"AO16664","Səbinə","Cəfərova","Beta","Captain","85.070000000000001"
"AO25165","Sənan","Abbasov","Sigma","Lieutenant","87.250000000000005"
"AO21707","Elvin","Yusifov","Sigma","Senior Lieutenant","87.87"
"AO16212","Kamran","Musaov","Sigma","Captain","87.95"
"AO11628","Ramin","Xəlilov","Alpha","Major","90.17"
"AO12366","Tofiq","Səfərov","Beta","Major","90.90"
"G11589","Tofiq","Qaraov","Beta","Senior Warrant Officer","91.99"
"AO23475","Elçin","Nağıov","Delta","Lieutenant","93.309999999999997"
"AO18793","Ceyhun","Yusifov","Sigma","Captain","96.769999999999994"
"G22580","Kamran","Abbasov","Delta","Warrant Officer","97.689999999999998"
"AO14212","Aqşin","Rüstəmov","Gamma","Major","98.39"
"AO12061","Cavid","Musaov","Delta","Major","101.01"
"AO19336","Ceyhun","Abbasov","Alpha","Captain","101.45"
"AO18742","Namiq","Nağıov","Alpha","Captain","101.88"
"G15417","Tural","Şıxəliov","Beta","Senior Warrant Officer","102.08"
"AO15583","Sənan","Musaov","Delta","Captain","103.29"
"AO22937","Ramin","Fərəcov","Alpha","Senior Lieutenant","104.399999999999995"
"AO16360","Nicat","Yusifov","Delta","Captain","104.71"
"AO24395","Zaur","Nağıov","Beta","Lieutenant","105.12"
"AO20473","Aqşin","Əliov","Alpha","Senior Lieutenant","105.51"
"AO16430","İlkin","Sultanov","Beta","Captain","107.98"
"G13723","Ceyhun","Musaov","Beta","Senior Warrant Officer","108.57"
"AO12140","Vüqar","Fərəcov","Sigma","Major","108.659999999999999"
"AO12824","Fərid","Abbasov","Delta","Major","111.2000000000000015"
"AO19316","Anar","Əliov","Beta","Captain","112.18"
"AO21206","Anar","Quliyov","Gamma","Senior Lieutenant","113.800000000000003"
"G22969","Fərid","Həsənov","Beta","Warrant Officer","115.72"
"AO16557","Kamran","İbrahimov","Beta","Captain","115.8300000000000015"
"AO17887","Murad","Qaraov","Gamma","Captain","116.820000000000001"
"G18229","Elşən","Quliyov","Gamma","Senior Warrant Officer","116.94"
"AO12461","Turanə","Vəliova","Alpha","Major","117.07"
"G21956","Rövşən","İbrahimov","Sigma","Warrant Officer","118.03"
"AO25477","Fuad","Qaraov","Delta","Lieutenant","119.00"
"AO97199","Günel","Yusifova","Beta","Lieutenant Colonel","120.22"
"AO18148","İlkin","Hüseynov","Delta","Captain","120.28"
"AO13467","Ruslan","Şıxəliov","Sigma","Major","121.21"
"AO11938","Rövşən","Yusifov","Gamma","Major","122.29"
"G10878","Fərid","Vəliov","Sigma","Senior Warrant Officer","122.440000000000001"
